tag,p_tag,sex,partner_type,age,p_age,pers,p_pers,pair_id,cycle,cycle_p_tag,cycle_pair,new_part,NumDays,breed_stage,no_hours,part_prev_bout
11727,27759,Male,Partner,21,19,0.425052,2.729198,11727_27759,A,A_27759,A_11727_27759,0,34,incu,266.8333333,209.16672
11727,27759,Male,Partner,21,19,0.425052,2.729198,11727_27759,A,A_27759,A_11727_27759,0,66,incu,114.8333333,176.16672
11727,27759,Male,Partner,21,19,0.425052,2.729198,11727_27759,A,A_27759,A_11727_27759,0,81,incu,158.5,243.49992
11727,27759,Male,Partner,21,19,0.425052,2.729198,11727_27759,A,A_27759,A_11727_27759,0,18,incu,170.1666667,248.66664
11727,27759,Male,Partner,21,19,0.425052,2.729198,11727_27759,A,A_27759,A_11727_27759,0,53,incu,138.3333333,193.5
27759,11727,Female,Logger,19,21,2.729198,0.425052,27759_11727,A,A_11727,A_27759_11727,0,45,incu,193.5,266.8333333
27759,11727,Female,Logger,19,21,2.729198,0.425052,27759_11727,A,A_11727,A_27759_11727,0,59,incu,176.1666667,138.3333333
27759,11727,Female,Logger,19,21,2.729198,0.425052,27759_11727,A,A_11727,A_27759_11727,0,25,incu,209.1666667,170.1666667
27759,11727,Female,Logger,19,21,2.729198,0.425052,27759_11727,A,A_11727,A_27759_11727,0,8,incu,248.6666667,97.333344
27759,11727,Female,Logger,19,21,2.729198,0.425052,27759_11727,A,A_11727,A_27759_11727,0,71,incu,243.5,114.8333333
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,9,incu,112.8333333,15.83333333
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,15,incu,6.666666667,27.5
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,18,incu,9.5,53.16666667
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,76,incu,183.5,141
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,54,incu,136.8333333,77.16666667
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,41,incu,235.3333333,269.3333333
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,21,incu,208.8330556,74.333328
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,2,incu,151.8333333,26.83333333
11725,25453,Male,Logger,22,20,0.3946664,3.157011,11725_25453,B,B_25453,B_11725_25453,0,65,incu,129.8333333,121
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,72,incu,254.6666667,217.8333333
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,4,incu,90.16666667,26.16666667
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,15,incu,224.0002778,175.1666667
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,56,incu,165.6663889,96.33333333
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,46,incu,151.8333333,235.5
18897,20800,Female,Logger,17,10,0.8921932,2.684725,18897_20800,B,B_20800,B_18897_20800,0,31,incu,114.6666667,159.8333333
19963,27641,Female,Logger,14,22,1.477475,1.892628,19963_27641,B,B_27641,B_19963_27641,0,57,incu,238.6666667,320.6666667
