"","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_p_tag","cycle_pair","new_part","NumDays","breed_stage","no_hours","part_prev_bout"
"1",11727,27759,"Male","Partner",21,19,0.425052,2.729198,"27759_11727","A","A_27759","A_27759_11727",0,34,"incu",266.8333333,209.16672
"2",11727,27759,"Male","Partner",21,19,0.425052,2.729198,"27759_11727","A","A_27759","A_27759_11727",0,66,"incu",114.8333333,176.16672
"3",11727,27759,"Male","Partner",21,19,0.425052,2.729198,"27759_11727","A","A_27759","A_27759_11727",0,81,"incu",158.5,243.49992
"4",11727,27759,"Male","Partner",21,19,0.425052,2.729198,"27759_11727","A","A_27759","A_27759_11727",0,18,"incu",170.1666667,248.66664
"5",11727,27759,"Male","Partner",21,19,0.425052,2.729198,"27759_11727","A","A_27759","A_27759_11727",0,53,"incu",138.3333333,193.5
"6",20551,21682,"Female","Partner",18,17,1.399439,1.363779,"21682_20551","B","B_21682","B_21682_20551",0,8,"incu",61.66666667,137.66664
"7",20551,21682,"Female","Partner",18,17,1.399439,1.363779,"21682_20551","B","B_21682","B_21682_20551",0,30,"incu",163.6666667,326.49984
"8",20551,21682,"Female","Partner",18,17,1.399439,1.363779,"21682_20551","B","B_21682","B_21682_20551",0,10,"incu",143.1666667,0.49992
"9",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,63,"incu",217.8333333,165.66648
"10",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,25,"incu",159.8333333,224.00016
"11",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,8,"incu",175.1666667,90.16656
"12",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,36,"incu",235.5,114.66672
"13",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,52,"incu",96.33333333,151.83336
"14",20800,18897,"Male","Partner",10,17,2.684725,0.8921932,"18897_20800","B","B_18897","B_18897_20800",0,83,"incu",293,254.66664
"15",21182,27854,"Male","Partner",17,30,1.544845,4.862843,"27854_21182","B","B_27854","B_27854_21182",0,90,"incu",166.6666667,102.66672
"16",21182,27854,"Male","Partner",17,30,1.544845,4.862843,"27854_21182","B","B_27854","B_27854_21182",0,85,"incu",13.33333333,75.33336
"17",23718,7025,"Female","Partner",22,33,1.003159,3.684725,"7025_23718","B","B_7025","B_7025_23718",0,30,"incu",187.6666667,144.83352
"18",23718,7025,"Female","Partner",22,33,1.003159,3.684725,"7025_23718","B","B_7025","B_7025_23718",0,14,"incu",156.3333333,144.66672
"19",23718,7025,"Female","Partner",22,33,1.003159,3.684725,"7025_23718","B","B_7025","B_7025_23718",0,23,"incu",22.66666667,72.33336
"20",23718,7025,"Female","Partner",22,33,1.003159,3.684725,"7025_23718","B","B_7025","B_7025_23718",0,7,"incu",23.5,9.66672
"21",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,18,"incu",74.333328,9.49992
"22",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,51,"incu",77.16666667,235.3332
"23",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,14,"incu",27.5,112.83336
"24",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,70,"incu",141,129.83328
"25",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,30,"incu",269.3333333,208.83312
"26",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,60,"incu",121,136.83336
"27",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,9,"incu",15.83333333,151.83336
"28",25453,11725,"Female","Partner",20,22,3.157011,0.3946664,"11725_25453","B","B_11725","B_11725_25453",0,15,"incu",53.16666667,6.66672
"29",27641,19963,"Male","Partner",22,14,1.892628,1.477475,"19963_27641","B","B_19963","B_19963_27641",0,67,"incu",170.8333333,238.66656
"30",27641,19963,"Male","Partner",22,14,1.892628,1.477475,"19963_27641","B","B_19963","B_19963_27641",0,44,"incu",320.6666667,145.16664
"31",28454,21185,"Male","Partner",22,21,1.25035,1.072549,"21185_28454","B","B_21185","B_21185_28454",0,32,"incu",420,343.16688
"32",28454,21185,"Male","Partner",22,21,1.25035,1.072549,"21185_28454","B","B_21185","B_21185_28454",0,66,"incu",461.1666667,384.49992
"33",28454,21185,"Male","Partner",22,21,1.25035,1.072549,"21185_28454","B","B_21185","B_21185_28454",0,13,"incu",120.3333333,271.16688
"34",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,9,"incu",98,38.66688
"35",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,17,"incu",47.16666667,5.49984
"36",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,6,"incu",39.83333333,8.16672
"37",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,22,"incu",273.3333333,28.99992
"38",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,20,"incu",16.33333333,23.16672
"39",4705,21667,"Female","Partner",38,39,3.404814,0.3438821,"21667_4705","B","B_21667","B_21667_4705",0,14,"incu",74.16666667,16.16664
"40",19354,20140,"Male","Partner",17,14,0.1097958,1.32351,"20140_19354","C","C_20140","C_20140_19354",0,17,"incu",79.5,158.66664
"41",19354,20140,"Male","Partner",17,14,0.1097958,1.32351,"20140_19354","C","C_20140","C_20140_19354",0,10,"incu",13.16666667,74.33328
"42",19354,20140,"Male","Partner",17,14,0.1097958,1.32351,"20140_19354","C","C_20140","C_20140_19354",0,6,"incu",17.5,112.5
"43",21271,22950,"Male","Partner",10,24,2.288892,0.4825872,"22950_21271","C","C_22950","C_22950_21271",1,30,"incu",150.6666667,285.49992
"44",21271,22950,"Male","Partner",10,24,2.288892,0.4825872,"22950_21271","C","C_22950","C_22950_21271",1,7,"incu",18.66666667,43.83312
