"","cycle_tag","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_pair","new_part","NumDays","day_date","breed_act","breed_stage","start_date_time","start_numeric_date_time","end_date_time","end_numeric_date_time","timeduration","no_hours","no_days","part_prev_bout","age_sq","p_age_sq","age_sc","p_age_sc","age_sq_sc","p_age_sq_sc","pers_sc","num_days_sc","p_pers_sc","pers_type","p_pers_type","ppb_ave_no_hours","ppb_ave_diff","ppb_ave_diff_sc","no_hours_sqrt"
"1","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",45,30,"jan","incu","30/01/2008 09:32",39477.39722,"07/02/2008 11:02",39485.45972,696600,193.5,8.0625,266.8333333,361,441,-0.571968297002704,-0.314922322756066,-0.640146019502045,-0.432391887955414,0.912010184292462,0.651691248191639,-1.20180130416348,"bold","shy",157.50000212,109.33333118,1.45574242989124,13.9104277432436
"2","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",59,13,"feb","incu","13/02/2008 05:22",39491.22361,"20/02/2008 13:32",39498.56389,634200,176.1666667,7.340277778,138.3333333,361,441,-0.571968297002704,-0.314922322756066,-0.640146019502045,-0.432391887955414,0.912010184292462,1.21116203673352,-1.20180130416348,"bold","shy",157.50000212,-19.16666882,-0.255198782839715,13.2727791626321
"3","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",25,10,"jan","incu","10/01/2008 13:32",39457.56389,"19/01/2008 06:42",39466.27917,753000,209.1666667,8.715277778,170.1666667,361,441,-0.571968297002704,-0.314922322756066,-0.640146019502045,-0.432391887955414,0.912010184292462,-0.147552735439616,-1.20180130416348,"bold","shy",157.50000212,12.66666458,0.168653061928104,14.4625954344302
"4","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",8,24,"dec","incu","24/12/2007 02:42",39440.1125,"03/01/2008 11:22",39450.47361,895200,248.6666667,10.36111111,97.333344,361,441,-0.571968297002704,-0.314922322756066,-0.640146019502045,-0.432391887955414,0.912010184292462,-0.826910121526183,-1.20180130416348,"bold","shy",157.50000212,-60.16665812,-0.801102062333084,15.7691682310767
"5","2008_BS11677","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",71,25,"feb","incu","25/02/2008 08:22",39503.34861,"06/03/2008 11:52",39513.49444,876600,243.5,10.14583333,114.8333333,361,441,-0.571968297002704,-0.314922322756066,-0.640146019502045,-0.432391887955414,0.912010184292462,1.69070842691227,-1.20180130416348,"bold","shy",157.50000212,-42.66666882,-0.568094646646542,15.6044865343272
"6","2008_BS27709","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",34,19,"jan","incu","19/01/2008 06:42",39466.27917,"30/01/2008 09:32",39477.39722,960600,266.8333333,11.11805556,209.16672,441,361,-0.303293035538019,-0.584707508642646,-0.422334480256122,-0.650978624362574,-1.19224993015687,0.212107057194448,0.892221615653464,"shy","bold",214.2,-5.03327999999999,-0.0670167018460266,16.3350339240542
"7","2008_BS27709","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",66,20,"feb","incu","20/02/2008 13:32",39498.56389,"25/02/2008 08:22",39503.34861,413400,114.8333333,4.784722222,176.16672,441,361,-0.303293035538019,-0.584707508642646,-0.422334480256122,-0.650978624362574,-1.19224993015687,1.49089743100446,0.892221615653464,"shy","bold",214.2,-38.03328,-0.506402382936465,10.7160316022304
"8","2008_BS27709","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",81,6,"mar","incu","06/03/2008 11:52",39513.49444,"13/03/2008 02:22",39520.09861,570600,158.5,6.604166667,243.49992,441,361,-0.303293035538019,-0.584707508642646,-0.422334480256122,-0.650978624362574,-1.19224993015687,2.0903304187279,0.892221615653464,"shy","bold",214.2,29.29992,0.390120160760466,12.5896783120142
"9","2008_BS27709","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",18,3,"jan","incu","03/01/2008 11:22",39450.47361,"10/01/2008 13:32",39457.56389,612600,170.1666667,7.090277778,248.66664,441,361,-0.303293035538019,-0.584707508642646,-0.422334480256122,-0.650978624362574,-1.19224993015687,-0.427288129710556,0.892221615653464,"shy","bold",214.2,34.46664,0.458913578524211,13.044794620844
"10","2008_BS27709","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709_BS11677","0",53,7,"feb","incu","07/02/2008 11:02",39485.45972,"13/02/2008 05:22",39491.22361,498000,138.3333333,5.763888889,193.5,441,361,-0.303293035538019,-0.584707508642646,-0.422334480256122,-0.650978624362574,-1.19224993015687,0.971388841644141,0.892221615653464,"shy","bold",214.2,-20.7,-0.275614654502184,11.7615191748345
"11","2009_BS11675","BS25403","BS11675","Female","Partner",20,22,3.157011,0.3946664,"BS11675_BS25403",2009,"2009_BS11675_BS25403","0",18,3,"jan","incu","03/01/2009 10:21",39816.43156,"06/01/2009 12:41",39819.52879,267599.9808,74.333328,3.097222,9.49992,400,484,-0.437630666270362,-0.180029729812776,-0.533962894119657,-0.314901517136565,1.30271018001448,-0.427288129710556,-1.22941593571564,"bold","shy",123.95829,-114.45837,-1.52398087451368,8.62167779495383
