"","tag","p_tag","sex","partner_type","age","p_age","pers","p_pers","pair_id","cycle","cycle_tag","cycle_pair","new_part","NumDays","day_date","breed_act","breed_stage","start_date_time","start_numeric_date_time","end_date_time","end_numeric_date_time","timeduration","no_hours","no_days","part_prev_bout"
"1","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709","2008_BS27709_BS11677",0,34,19,"jan","incu","19/01/2008 06:42",39466.27917,"30/01/2008 09:32",39477.39722,960600,266.8333333,11.11805556,209.16672
"2","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709","2008_BS27709_BS11677",0,66,20,"feb","incu","20/02/2008 13:32",39498.56389,"25/02/2008 08:22",39503.34861,413400,114.8333333,4.784722222,176.16672
"3","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709","2008_BS27709_BS11677",0,81,6,"mar","incu","06/03/2008 11:52",39513.49444,"13/03/2008 02:22",39520.09861,570600,158.5,6.604166667,243.49992
"4","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709","2008_BS27709_BS11677",0,18,3,"jan","incu","03/01/2008 11:22",39450.47361,"10/01/2008 13:32",39457.56389,612600,170.1666667,7.090277778,248.66664
"5","BS11677","BS27709","Male","Partner",21,19,0.425052,2.729198,"BS27709_BS11677",2008,"2008_BS27709","2008_BS27709_BS11677",0,53,7,"feb","incu","07/02/2008 11:02",39485.45972,"13/02/2008 05:22",39491.22361,498000,138.3333333,5.763888889,193.5
"6","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS11677","2008_BS27709_BS11677",0,45,30,"jan","incu","30/01/2008 09:32",39477.39722,"07/02/2008 11:02",39485.45972,696600,193.5,8.0625,266.8333333
"7","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS11677","2008_BS27709_BS11677",0,59,13,"feb","incu","13/02/2008 05:22",39491.22361,"20/02/2008 13:32",39498.56389,634200,176.1666667,7.340277778,138.3333333
"8","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS11677","2008_BS27709_BS11677",0,25,10,"jan","incu","10/01/2008 13:32",39457.56389,"19/01/2008 06:42",39466.27917,753000,209.1666667,8.715277778,170.1666667
"9","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS11677","2008_BS27709_BS11677",0,8,24,"dec","incu","24/12/2007 02:42",39440.1125,"03/01/2008 11:22",39450.47361,895200,248.6666667,10.36111111,97.333344
"10","BS27709","BS11677","Female","Logger",19,21,2.729198,0.425052,"BS27709_BS11677",2008,"2008_BS11677","2008_BS27709_BS11677",0,71,25,"feb","incu","25/02/2008 08:22",39503.34861,"06/03/2008 11:52",39513.49444,876600,243.5,10.14583333,114.8333333
